1	26-VV-65	2025	1	3	12	17	3V15	2025	1	3	16	46
2	69-WB-51	2025	10	13	14	32	3J35	2025	10	13	18	1
3	1-TV-92	2025	12	10	23	52	3C30	2025	12	11	1	59
4	47-IE-85	2025	9	9	12	1	2X17	2025	9	9	12	13
5	78-IY-28	2025	10	1	18	42	1J26	2025	10	1	22	55
6	30-ZC-69	2025	12	15	16	34	3I1	2025	12	15	21	49
7	26-MI-22	2025	5	23	18	34	3A8	2025	5	23	19	49
8	38-TR-59	2025	2	29	22	28	3C20	2025	2	30	1	36
9	41-IC-89	2025	10	9	9	12	2E1	2025	10	9	9	18
10	78-LN-49	2025	4	1	21	42	3P23	2025	4	2	2	6
11	71-HA-44	2025	7	2	14	13	2G36	2025	7	2	18	19
12	73-OL-98	2025	11	24	12	26	2A50	2025	11	24	15	39
13	89-UT-22	2025	12	8	17	18	3E28	2025	12	8	18	18
14	36-CF-87	2025	9	1	19	49	1V44	2025	9	1	19	51
15	80-XI-19	2025	9	27	16	47	2G13	2025	9	27	16	58
16	62-UU-77	2025	9	11	20	52	1B3	2025	9	11	20	8
17	6-AR-86	2025	9	1	17	26	2J36	2025	9	1	22	48
18	80-GX-39	2025	8	14	19	55	3A36	2025	8	14	20	8
19	49-KA-83	2025	5	2	23	25	3K47	2025	5	3	0	37
20	82-BX-6	2025	4	7	18	30	1V7	2025	4	7	23	45
21	34-PL-93	2025	12	9	11	21	3L33	2025	12	9	16	31
22	91-AS-48	2025	7	2	14	12	1N46	2025	7	2	18	19
23	63-PH-24	2025	12	2	16	5	1D35	2025	12	2	17	22
24	52-EJ-63	2025	1	26	13	55	2Q34	2025	1	26	16	13
25	49-ZC-12	2025	2	28	18	59	3N18	2025	2	28	20	9
26	0-SH-49	2025	7	11	22	2	2X21	2025	7	12	3	13
27	12-KA-72	2025	6	23	21	33	1C20	2025	6	24	1	52
28	88-IQ-5	2025	2	16	21	44	3B43	2025	2	17	2	52
29	52-DM-60	2025	10	2	14	2	2Z1	2025	10	2	15	15
30	61-YS-69	2025	8	26	18	58	2D18	2025	8	26	20	11
31	70-EN-53	2025	6	6	13	58	3L3	2025	6	6	13	20
32	59-OY-82	2025	12	12	20	6	2O14	2025	12	13	0	26
33	63-WF-22	2025	10	15	13	14	1X28	2025	10	15	14	14
34	56-TI-8	2025	2	21	18	22	3D5	2025	2	21	20	28
35	19-RN-82	2025	10	12	19	47	1A37	2025	10	12	19	12
36	1-MJ-28	2025	2	10	11	33	1D29	2025	2	10	15	45
37	96-TI-87	2025	9	20	20	17	1A40	2025	9	20	20	37
38	24-JP-29	2025	3	18	9	6	1G3	2025	3	18	12	11
39	71-YJ-11	2025	3	16	10	47	3T27	2025	3	16	11	48
40	77-UK-89	2025	2	14	9	55	2K17	2025	2	14	11	4
41	83-MK-69	2025	11	23	23	34	2R11	2025	11	24	0	51
42	23-UJ-51	2025	6	13	23	33	3I44	2025	6	14	1	2
43	17-RS-40	2025	3	8	9	0	2E47	2025	3	8	11	21
44	55-TV-34	2025	5	29	11	10	2F36	2025	5	29	15	32
45	90-GK-42	2025	8	13	14	32	3I5	2025	8	13	19	43
46	55-IY-71	2025	12	4	12	58	2T48	2025	12	4	12	28
47	48-FK-0	2025	1	15	12	1	2K17	2025	1	15	14	3
48	18-GF-31	2025	5	3	22	46	3L40	2025	5	4	2	16
49	49-ZO-15	2025	3	22	14	0	2J39	2025	3	22	14	7
50	15-CT-61	2025	4	16	22	25	1P49	2025	4	16	22	48
51	80-DQ-81	2025	9	7	17	35	2G23	2025	9	7	18	44
52	94-EA-26	2025	11	25	20	4	2E46	2025	11	25	21	18
53	54-KV-2	2025	4	9	13	59	2X10	2025	4	9	18	23
54	29-YI-27	2025	5	7	22	29	1I27	2025	5	8	0	47
55	9-BR-50	2025	10	13	9	58	1M29	2025	10	13	9	13
56	41-GP-88	2025	1	28	9	18	3L14	2025	1	28	10	19
57	81-UK-84	2025	4	10	10	48	1U30	2025	4	10	12	58
58	69-OX-33	2025	5	22	20	51	2R15	2025	5	23	1	7
59	16-YU-11	2025	7	15	10	58	2O47	2025	7	15	11	23
